codigo_articulo,nombre_producto,presentacion,unidad_medida,categoria,categoria_general,origen,es_producto
0219IN,Café en capsulas,,unidad,Instantaneo,Bebidas e infusiones,real,True
SINT0985,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0442,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0078,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0340GE,Cacao en barra,,unidad,"Gelatina, postres",Snacks y dulces,real,True
SINT0328,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0298CN,AJI MARISOL SECO,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0547,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0287,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0698,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0460SN,Crackelet,,paquete,Snacks,Snacks y dulces,real,True
SINT0270,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0120,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
0272CN,Sillao 1 lt,1 lt,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0228,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
0204AZ,Hojuela 275 gr,275 gr,kg,Azucar,Abarrotes,real,True
0164CR,Arroz Integral 1 kg,1 kg,kg,Cereal,Cereales y farináceos,real,True
SINT0815,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
SINT0570,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0405LA,Leche Fresca b900 ml botella,,lata,Lacteos,Lácteos,real,True
SINT0527,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0742,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
SINT0585,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0571LI,Detergente líquido 2.5 L,2.5 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0906,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0172,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0552,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0932,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0729,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0367,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
0208AZ,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,real,False
0035ME,Lenteja 1 kg,1 kg,kg,Menestras,Menestras,real,True
SINT0764,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0514AV,Sangrecita de pollo,,kg,Aves,Avícolas,real,True
SINT0317,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0846,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0805,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0659,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
0093AC,Aceite Vegetal 20 lt,20 lt,litro,Aceite,Abarrotes,real,True
SINT0807,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0907,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
0570LI,Detergente líquido 1.5 L,1.5 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0746,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0088,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
0244HA,Harina de cañihua 200 gr,200 gr,kg,Harina,Cereales y farináceos,real,True
0014ME,Frejol Canario 1 kg,1 kg,kg,Menestras,Menestras,real,True
0318CN,BOLDO,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0606LI,Limpiador Multiusos Antibacteria 10 Lt,10 lt,unidad,Limpieza,Limpieza e higiene,real,True
0391IN,Te rojo 25 und,25 und,caja,Infusion,Bebidas e infusiones,real,True
SINT0984,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
0169CR,Cereal en barra 253 gr caja 12 un,253 gr,kg,Cereal,Cereales y farináceos,real,True
SINT0767,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0021ME,Frejol Negro 500 gr,500 gr,kg,Menestras,Menestras,real,True
0652LI,Servilletas x 50,,unidad,Limpieza,Limpieza e higiene,real,True
SINT0794,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0988,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0047,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0977,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0038,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
SINT0771,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0568LI,Detergente en polvo 20 kg,20 kg,unidad,Limpieza,Limpieza e higiene,real,True
SINT0475,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0513,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0081,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0192AZ,Azucar rubia 5 kg,5 kg,kg,Azucar,Abarrotes,real,True
SINT0935,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0549,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0240,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
0516AV,Piernas de pollo kg,,kg,Aves,Avícolas,real,True
SINT0531,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0479HU,Registro técnico (sin descripción),,unidad,Huevos,Avícolas,real,False
SINT0555,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0259,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0070,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
0255HA,Harina de Mix fibras 200gr,200 gr,kg,Harina,Cereales y farináceos,real,True
0022ME,Frejol Negro 1 kl,1 kg,kg,Menestras,Menestras,real,True
SINT0162,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0464SN,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,real,False
SINT0960,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0279CN,Caldo Maggi carne,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0196,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0153,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0389IN,Mix de Te,,caja,Infusion,Bebidas e infusiones,real,True
SINT0583,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0441,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0642,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0346FI,Fideos largos 5 kl,5 kg,kg,Fideos,Cereales y farináceos,real,True
SINT0382,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0503,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0133CO,CHAMPIÑONES 400 gr,400 gr,lata,Conserva,Conservas,real,True
SINT0656,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0545,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
SINT0853,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0089ME,Registro técnico (sin descripción),,kg,Menestras,Menestras,real,False
SINT0795,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0333GE,Gelatina 1 kl,1 kg,unidad,"Gelatina, postres",Snacks y dulces,real,True
SINT0349,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0471SN,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,real,False
0124CO,Grated de Atun lata,lata,lata,Conserva,Conservas,real,True
SINT0058,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0028,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0682,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0873,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0685,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0670,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0627,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0176,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
